,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,coordinateX-WGS84,coordinateY-WGS84,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
11,Hypsugo_savii,HomeRange,200,140,0.7,Mean,MCP100&HomingIn/triangulation,ha,12,individual,NA,roost,Italy,NA,NA,Ancillotto et al. (2018),"Ancillotto, L., Budinski, I., Nardone, V., Di Salvo, I., Della Corte, M., Bosso, L., ... & Russo, D. (2018). What is driving range expansion in a common bat? Hints from thermoregulation and habitat selection. Behavioural processes, 157, 540-546.
",Sex_Mixed,Age_Adult/Subadult,NA
12,Hypsugo_savii,MaxNightlyDistance,2900,1600,0.55,Mean,NA&HomingIn/triangulation,m,12,individual,NA,roost,Italy,NA,NA,Ancillotto et al. (2018),"Ancillotto, L., Budinski, I., Nardone, V., Di Salvo, I., Della Corte, M., Bosso, L., ... & Russo, D. (2018). What is driving range expansion in a common bat? Hints from thermoregulation and habitat selection. Behavioural processes, 157, 540-546.
",Sex_Mixed,Age_Adult/Subadult,NA
13,Barbastella_barbastellus,HomeRange,1429.83,309.98,0.22,Mean,MCP100&HomingIn/triangulation,ha,6,individual,1,roost,Sweden,57.013545,12.861461,Apoznański et al. (2018),"Apoznański, G., Sánchez-Navarro, S., Kokurewicz, T., Pettersson, S., & Rydell, J. (2018). Barbastelle bats in a wind farm: are they at risk?. European Journal of Wildlife Research, 64(4), 43.",Sex_Male,Age_Adult/Subadult,NA
14,Myotis_blythii,HomeRange,38.1,11,0.29,Mean,MCP100&HomingIn,ha,10,individual,NA,roost,Switzerland,NA,NA,Arlettaz (1999),"Arlettaz, R. (1999). Habitat selection as a major resource partitioning mechanism between the two sympatric sibling bat species Myotis myotis and Myotis blythii. Journal of Animal Ecology, 68(3), 460-471.",Sex_Female,Age_Mixed,NA
15,Myotis_myotis,HomeRange,36.2,17,0.47,Mean,MCP100&HomingIn,ha,10,individual,NA,roost,Switzerland,NA,NA,Arlettaz (1999),"Arlettaz, R. (1999). Habitat selection as a major resource partitioning mechanism between the two sympatric sibling bat species Myotis myotis and Myotis blythii. Journal of Animal Ecology, 68(3), 460-471.",Sex_Female,Age_Mixed,NA
16,Myotis_myotis,MeanNightlyDistance,8680,6061,0.7,Mean,NA&HomingIn,m,10,individual,NA,roost,Switzerland,NA,NA,Arlettaz (1999),"Arlettaz, R. (1999). Habitat selection as a major resource partitioning mechanism between the two sympatric sibling bat species Myotis myotis and Myotis blythii. Journal of Animal Ecology, 68(3), 460-471.",Sex_Female,Age_Mixed,NA
17,Myotis_blythii,MeanNightlyDistance,3862,1548,0.4,Mean,NA&HomingIn,m,10,individual,NA,roost,Switzerland,NA,NA,Arlettaz (1999),"Arlettaz, R. (1999). Habitat selection as a major resource partitioning mechanism between the two sympatric sibling bat species Myotis myotis and Myotis blythii. Journal of Animal Ecology, 68(3), 460-471.",Sex_Female,Age_Mixed,NA
18,Myotis_bechsteinii,HomeRange,55.28,67,1.21,Mean,Kernel95&HomingIn,ha,9,individual,1,roost,Spain,37.867379,-2.930425,Arrizabalaga-Escudero et al. (2014),"Arrizabalaga-Escudero, A., Napal, M., Aihartza, J., Garin, I., Alberdi, A., & Salsamendi, E. (2014). Can pinewoods provide habitat for a deciduous forest specialist? A two-scale approach to the habitat selection of Bechstein’s bat. Mammalian Biology, 79(2), 117-122.",Sex_Female,Age_Adult/Subadult,NA
19,Myotis_bechsteinii,MaxNightlyDistance,1368.67,284.93,0.21,Mean,NA&HomingIn,m,9,individual,1,roost,Spain,37.867379,-2.930425,Arrizabalaga-Escudero et al. (2014),"Arrizabalaga-Escudero, A., Napal, M., Aihartza, J., Garin, I., Alberdi, A., & Salsamendi, E. (2014). Can pinewoods provide habitat for a deciduous forest specialist? A two-scale approach to the habitat selection of Bechstein’s bat. Mammalian Biology, 79(2), 117-122.",Sex_Female,Age_Adult/Subadult,NA
20,Myotis_bechsteinii,MeanNightlyDistance,880,396.52,0.45,Mean,NA&HomingIn,m,9,individual,1,roost,Spain,37.867379,-2.930425,Arrizabalaga-Escudero et al. (2014),"Arrizabalaga-Escudero, A., Napal, M., Aihartza, J., Garin, I., Alberdi, A., & Salsamendi, E. (2014). Can pinewoods provide habitat for a deciduous forest specialist? A two-scale approach to the habitat selection of Bechstein’s bat. Mammalian Biology, 79(2), 117-122.",Sex_Female,Age_Adult/Subadult,NA
21,Plecotus_auritus,HomeRange,51.8,33.84,0.65,Mean,MCP100&HomingIn/triangulation,ha,8,individual,2,roost,Switzerland,NA,NA,Ashrafi et al. (2013),"Ashrafi, S., Rutishauser, M., Ecker, K., Obrist, M. K., Arlettaz, R., & Bontadina, F. (2013). Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation. Biodiversity and conservation, 22(12), 2751-2766.",Sex_Female,Age_Adult/Subadult,NA
22,Plecotus_austriacus,HomeRange,295.47,296.07,1,Mean,MCP100&HomingIn/triangulation,ha,8,individual,2,roost,Switzerland,NA,NA,Ashrafi et al. (2013),"Ashrafi, S., Rutishauser, M., Ecker, K., Obrist, M. K., Arlettaz, R., & Bontadina, F. (2013). Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation. Biodiversity and conservation, 22(12), 2751-2766.",Sex_Female,Age_Adult/Subadult,NA
23,Plecotus_macrobullaris,HomeRange,239.5,284.34,1.19,Mean,MCP100&HomingIn/triangulation,ha,8,individual,2,roost,Switzerland,NA,NA,Ashrafi et al. (2013),"Ashrafi, S., Rutishauser, M., Ecker, K., Obrist, M. K., Arlettaz, R., & Bontadina, F. (2013). Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation. Biodiversity and conservation, 22(12), 2751-2766.",Sex_Female,Age_Adult/Subadult,NA
24,Plecotus_austriacus,MaxNightlyDistance,2991.25,1504.42,0.5,Mean,NA&HomingIn/triangulation,m,8,individual,2,roost,Switzerland,NA,NA,Ashrafi et al. (2013),"Ashrafi, S., Rutishauser, M., Ecker, K., Obrist, M. K., Arlettaz, R., & Bontadina, F. (2013). Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation. Biodiversity and conservation, 22(12), 2751-2766.",Sex_Female,Age_Adult/Subadult,NA
25,Plecotus_macrobullaris,MaxNightlyDistance,2591.25,1645.42,0.63,Mean,NA&HomingIn/triangulation,m,8,individual,2,roost,Switzerland,NA,NA,Ashrafi et al. (2013),"Ashrafi, S., Rutishauser, M., Ecker, K., Obrist, M. K., Arlettaz, R., & Bontadina, F. (2013). Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation. Biodiversity and conservation, 22(12), 2751-2766.",Sex_Female,Age_Adult/Subadult,NA
26,Plecotus_auritus,MaxNightlyDistance,1220,577.9,0.47,Mean,NA&HomingIn/triangulation,m,8,individual,2,roost,Switzerland,NA,NA,Ashrafi et al. (2013),"Ashrafi, S., Rutishauser, M., Ecker, K., Obrist, M. K., Arlettaz, R., & Bontadina, F. (2013). Habitat selection of three cryptic Plecotus bat species in the European Alps reveals contrasting implications for conservation. Biodiversity and conservation, 22(12), 2751-2766.",Sex_Female,Age_Adult/Subadult,NA
27,Rhinolophus_euryale,HomeRange,662.63,520.96,0.79,Mean,MCP100&HomingIn/triangulation,ha,8,individual,1,roost,France,45.078556,1.5245,Barataud et al. (2012),"Barataud M., Jemin J., Grugier Y., Mazaud S. 2012 - Étude sur les territoires de chasse du Rhinolophe euryale, Rhinolophus euryale, en Corrèze, site Natura 2000 des Abîmes de la Fage. Le Naturaliste Vendéen 9 : 43-55.",Sex_Mixed,Age_Adult/Subadult,NA
28,Rhinolophus_euryale,MaxNightlyDistance,4878.75,1991.31,0.41,Mean,NA&HomingIn/triangulation,m,8,individual,1,roost,France,45.078556,1.5245,Barataud et al. (2012),"Barataud M., Jemin J., Grugier Y., Mazaud S. 2012 - Étude sur les territoires de chasse du Rhinolophe euryale, Rhinolophus euryale, en Corrèze, site Natura 2000 des Abîmes de la Fage. Le Naturaliste Vendéen 9 : 43-55.",Sex_Mixed,Age_Adult/Subadult,NA
29,Rhinolophus_euryale,MeanNightlyDistance,3318.75,1388.15,0.42,Mean,NA&HomingIn/triangulation,m,8,individual,1,roost,France,45.078556,1.5245,Barataud et al. (2012),"Barataud M., Jemin J., Grugier Y., Mazaud S. 2012 - Étude sur les territoires de chasse du Rhinolophe euryale, Rhinolophus euryale, en Corrèze, site Natura 2000 des Abîmes de la Fage. Le Naturaliste Vendéen 9 : 43-55.",Sex_Mixed,Age_Adult/Subadult,NA
30,Myotis_brandtii,HomeRange,40.56,70,1.73,Mean,MCP100&HomingIn/triangulation,ha,12,individual,NA,roost,UnitedKingdom,NA,NA,Berge (2007),"Berge, L. (2007). Resource partitioning between the cryptic species Brandt's bat (Myotis brandtii) and the whiskered bat (M. mystacinus) in the UK (Doctoral dissertation, University of Bristol).",Sex_Female,Age_Adult/Subadult,NA
31,Myotis_mystacinus,HomeRange,33.1,30.38,0.92,Mean,MCP100&HomingIn/triangulation,ha,12,individual,NA,roost,UnitedKingdom,NA,NA,Berge (2007),"Berge, L. (2007). Resource partitioning between the cryptic species Brandt's bat (Myotis brandtii) and the whiskered bat (M. mystacinus) in the UK (Doctoral dissertation, University of Bristol).",Sex_Mixed,Age_Adult/Subadult,NA
32,Myotis_mystacinus,HomeRange,5.44,2.96,0.54,Mean,Kernel90&HomingIn/triangulation,ha,12,individual,NA,roost,UnitedKingdom,NA,NA,Berge (2007),"Berge, L. (2007). Resource partitioning between the cryptic species Brandt's bat (Myotis brandtii) and the whiskered bat (M. mystacinus) in the UK (Doctoral dissertation, University of Bristol).",Sex_Mixed,Age_Adult/Subadult,NA
33,Myotis_brandtii,HomeRange,4.26,2.84,0.67,Mean,Kernel90&HomingIn/triangulation,ha,12,individual,NA,roost,UnitedKingdom,NA,NA,Berge (2007),"Berge, L. (2007). Resource partitioning between the cryptic species Brandt's bat (Myotis brandtii) and the whiskered bat (M. mystacinus) in the UK (Doctoral dissertation, University of Bristol).",Sex_Female,Age_Adult/Subadult,NA
34,Myotis_mystacinus,MeanNightlyDistance,812,586,0.72,Mean,NA&HomingIn/triangulation,m,12,individual,NA,roost,UnitedKingdom,NA,NA,Berge (2007),"Berge, L. (2007). Resource partitioning between the cryptic species Brandt's bat (Myotis brandtii) and the whiskered bat (M. mystacinus) in the UK (Doctoral dissertation, University of Bristol).",Sex_Mixed,Age_Adult/Subadult,NA
35,Myotis_brandtii,MeanNightlyDistance,791,850,1.07,Mean,NA&HomingIn/triangulation,m,12,individual,NA,roost,UnitedKingdom,NA,NA,Berge (2007),"Berge, L. (2007). Resource partitioning between the cryptic species Brandt's bat (Myotis brandtii) and the whiskered bat (M. mystacinus) in the UK (Doctoral dissertation, University of Bristol).",Sex_Female,Age_Adult/Subadult,NA
36,Rhinolophus_ferrumequinum,HomeRange,657.99,738.06,1.12,Mean,MCP&Triangulation/Biangulation,ha,11,individual,1,roost,UnitedKingdom,51.286289,-2.780774,Billington (2013),"Billington, G. (2013). Cheddar Reservoir 2: Radio tracking studies of greater horseshoe and lesser horseshoe bats, June and August 2013. Greena Ecological Consultancy, pp. 68.",Sex_Mixed,Age_Mixed,NA
37,Rhinolophus_hipposideros,HomeRange,448.78,466.98,1.04,Mean,MCP&Triangulation/Biangulation,ha,14,individual,1,roost,UnitedKingdom,51.286289,-2.780774,Billington (2013),"Billington, G. (2013). Cheddar Reservoir 2: Radio tracking studies of greater horseshoe and lesser horseshoe bats, June and August 2013. Greena Ecological Consultancy, pp. 68.",Sex_Mixed,Age_Mixed,NA
38,Rhinolophus_ferrumequinum,MaxNightlyDistance,3753.64,1621.51,0.43,Mean,NA&Triangulation/Biangulation,m,11,individual,1,roost,UnitedKingdom,51.286289,-2.780774,Billington (2013),"Billington, G. (2013). Cheddar Reservoir 2: Radio tracking studies of greater horseshoe and lesser horseshoe bats, June and August 2013. Greena Ecological Consultancy, pp. 68.",Sex_Mixed,Age_Mixed,NA
39,Rhinolophus_hipposideros,MaxNightlyDistance,2882.14,1449.43,0.5,Mean,NA&Triangulation/Biangulation,m,14,individual,1,roost,UnitedKingdom,51.286289,-2.780774,Billington (2013),"Billington, G. (2013). Cheddar Reservoir 2: Radio tracking studies of greater horseshoe and lesser horseshoe bats, June and August 2013. Greena Ecological Consultancy, pp. 68.",Sex_Mixed,Age_Mixed,NA
40,Myotis_capaccinii,MaxNightlyDistance,7452.22,5211.11,0.7,Mean,NA&HomingIn/triangulation,m,18,individual,1,roost,Italy,41.5055,13.2645,Biscardi et al. (2007),"Biscardi, S., Russo, D., Casciani, V., Cesarini, D., Mei, M., & Boitani, L. (2007). Foraging requirements of the endangered long‐fingered bat: the influence of micro‐habitat structure, water quality and prey type. Journal of Zoology, 273(4), 372-381.",Sex_Mixed,Age_Adult/Subadult,NA
41,Rhinolophus_ferrumequinum,HomeRange,714.93,660.46,0.92,Mean,MCP100&HomingIn,ha,21,individual,1,roost,France,48.273444,-4.5975,Boireau & Le Campion (2014),"Boireau, J., & Le Campion, T.(2014) Etude des terrains de chasse d’une colonie de Grand rhinolophe Rhinolophus ferrumequinum en Presqu’île de Crozon (Bretagne). Symbioses, 32, 19-27.",Sex_Female,Age_Adult/Subadult,NA
42,Rhinolophus_ferrumequinum,MaxNightlyDistance,5749.35,2351.3,0.41,Mean,NA&HomingIn,m,21,individual,1,roost,France,48.273444,-4.5975,Boireau & Le Campion (2014),"Boireau, J., & Le Campion, T.(2014) Etude des terrains de chasse d’une colonie de Grand rhinolophe Rhinolophus ferrumequinum en Presqu’île de Crozon (Bretagne). Symbioses, 32, 19-27.",Sex_Female,Age_Adult/Subadult,NA
43,Rhinolophus_ferrumequinum,MeanNightlyDistance,4382.19,1966.49,0.45,Mean,NA&HomingIn,m,21,individual,1,roost,France,48.273444,-4.5975,Boireau & Le Campion (2014),"Boireau, J., & Le Campion, T.(2014) Etude des terrains de chasse d’une colonie de Grand rhinolophe Rhinolophus ferrumequinum en Presqu’île de Crozon (Bretagne). Symbioses, 32, 19-27.",Sex_Female,Age_Adult/Subadult,NA
44,Rhinolophus_hipposideros,HomeRange,89.19,135.89,1.52,Mean,MCP100&HomingIn/triangulation,ha,8,individual,1,roost,UnitedKingdom,51.793127,-2.695658,Bontadina et al. (2002),"Bontadina, F., Schofield, H., & Naef‐Daenzer, B. (2002). Radio‐tracking reveals that lesser horseshoe bats (Rhinolophus hipposideros) forage in woodland. Journal of Zoology, 258(3), 281-290.",Sex_Female,Age_Mixed,NA
45,Rhinolophus_ferrumequinum,HomeRange,53.32,32.14,0.6,Mean,Kernel90&HomingIn/triangulation,ha,22,individual,1,roost,Switzerland,46.777043,9.231554,Bontadina et al. (2002),"Bontadina, F., Gloor, S., Hotz, T., Beck, A., Lutz, M., & Mühlethaler, E. (2002). Foraging range use by a colony of greater horseshoe bats Rhinolophus ferrumequinum in the Swiss Alps: implications for landscape planning. Conservation Ecology in Horseshoe Bats. PhD Thesis, University of Bern. Str, 40-64.",Sex_Mixed,Age_Adult/Subadult,NA
46,Rhinolophus_hipposideros,HomeRange,29.73,16.3,0.55,Mean,Kernel100&HomingIn/triangulation,ha,8,individual,1,roost,UnitedKingdom,51.793127,-2.695658,Bontadina et al. (2002),"Bontadina, F., Schofield, H., & Naef‐Daenzer, B. (2002). Radio‐tracking reveals that lesser horseshoe bats (Rhinolophus hipposideros) forage in woodland. Journal of Zoology, 258(3), 281-290.",Sex_Female,Age_Mixed,NA
47,Rhinolophus_ferrumequinum,MaxNightlyDistance,3320.5,1505.05,0.45,Mean,NA&HomingIn/triangulation,m,22,individual,1,roost,Switzerland,46.777043,9.231554,Bontadina et al. (2002),"Bontadina, F., Gloor, S., Hotz, T., Beck, A., Lutz, M., & Mühlethaler, E. (2002). Foraging range use by a colony of greater horseshoe bats Rhinolophus ferrumequinum in the Swiss Alps: implications for landscape planning. Conservation Ecology in Horseshoe Bats. PhD Thesis, University of Bern. Str, 40-64.",Sex_Mixed,Age_Adult/Subadult,NA
48,Rhinolophus_hipposideros,MaxNightlyDistance,1238.13,1397.42,1.13,Mean,NA&HomingIn/triangulation,m,8,individual,1,roost,UnitedKingdom,51.793127,-2.695658,Bontadina et al. (2002),"Bontadina, F., Schofield, H., & Naef‐Daenzer, B. (2002). Radio‐tracking reveals that lesser horseshoe bats (Rhinolophus hipposideros) forage in woodland. Journal of Zoology, 258(3), 281-290.",Sex_Female,Age_Mixed,NA
49,Rhinolophus_ferrumequinum,MeanNightlyDistance,1778.32,1243.86,0.7,Mean,NA&HomingIn/triangulation,m,22,individual,1,roost,Switzerland,46.777043,9.231554,Bontadina et al. (2002),"Bontadina, F., Gloor, S., Hotz, T., Beck, A., Lutz, M., & Mühlethaler, E. (2002). Foraging range use by a colony of greater horseshoe bats Rhinolophus ferrumequinum in the Swiss Alps: implications for landscape planning. Conservation Ecology in Horseshoe Bats. PhD Thesis, University of Bern. Str, 40-64.",Sex_Mixed,Age_Adult/Subadult,NA
50,Myotis_mystacinus,HomeRange,227.8,200.5,0.88,Mean,MCP100&Triangulation,ha,13,individual,1,roost,Ireland,51.85,-8.89,Buckley et al. (2013),"Buckley, D. J., Lundy, M. G., Boston, E. S., Scott, D. D., Gager, Y., Prodöhl, P., ... & Teeling, E. C. (2013). The spatial ecology of the whiskered bat (Myotis mystacinus) at the western extreme of its range provides evidence of regional adaptation. Mammalian Biology, 78(3), 198-204.",Sex_Female,Age_Adult/Subadult,NA
51,Myotis_mystacinus,HomeRange,58.7,75.8,1.29,Mean,Kernel50&Triangulation,ha,13,individual,1,roost,Ireland,51.85,-8.89,Buckley et al. (2013),"Buckley, D. J., Lundy, M. G., Boston, E. S., Scott, D. D., Gager, Y., Prodöhl, P., ... & Teeling, E. C. (2013). The spatial ecology of the whiskered bat (Myotis mystacinus) at the western extreme of its range provides evidence of regional adaptation. Mammalian Biology, 78(3), 198-204.",Sex_Female,Age_Adult/Subadult,NA
52,Myotis_mystacinus,MeanNightlyDistance,5010,1406,0.28,Mean,NA&Triangulation,m,13,individual,1,roost,Ireland,51.85,-8.89,Buckley et al. (2013),"Buckley, D. J., Lundy, M. G., Boston, E. S., Scott, D. D., Gager, Y., Prodöhl, P., ... & Teeling, E. C. (2013). The spatial ecology of the whiskered bat (Myotis mystacinus) at the western extreme of its range provides evidence of regional adaptation. Mammalian Biology, 78(3), 198-204.",Sex_Female,Age_Adult/Subadult,NA
53,Barbastella_barbastellus,HomeRange,465.2,410.6,0.88,Mean,MCP100&HomingIn,ha,7,individual,1,roost,UnitedKingdom,50.594722,-3.726389,Carr (2018),"Carr, A. (2018). Investigating the effects of management in temperate broadleaved woodland on bats and their insect prey (Doctoral dissertation, University of Bristol).",Sex_Female,Age_Adult/Subadult,NA
54,Barbastella_barbastellus,HomeRange,16.8,7.5,0.45,Mean,Kernel90&HomingIn,ha,7,individual,1,roost,UnitedKingdom,50.594722,-3.726389,Carr (2018),"Carr, A. (2018). Investigating the effects of management in temperate broadleaved woodland on bats and their insect prey (Doctoral dissertation, University of Bristol).",Sex_Female,Age_Adult/Subadult,NA
55,Barbastella_barbastellus,MaxNightlyDistance,4800,2700,0.56,Mean,NA&HomingIn,m,7,individual,1,roost,UnitedKingdom,50.594722,-3.726389,Carr (2018),"Carr, A. (2018). Investigating the effects of management in temperate broadleaved woodland on bats and their insect prey (Doctoral dissertation, University of Bristol).",Sex_Female,Age_Adult/Subadult,NA
56,Eptesicus_serotinus,MaxNightlyDistance,5142.86,3145.29,0.61,Mean,NA&HomingIn/triangulation,m,7,individual,1,roost,UnitedKingdom,50.83,-0.11,Catto et al. (1996),"Catto, C. M. C., Hutson, A. M., Raccey, P. A., & Stephenson, P. J. (1996). Foraging behaviour and habitat use of the serotine bat (Eptesicus serotinus) in southern England. Journal of Zoology, 238(4), 623-633.",Sex_Female,Age_Mixed,NA
57,Eptesicus_serotinus,MaxNightlyDistance,2875,1663.69,0.58,Mean,NA&HomingIn/triangulation,m,8,individual,1,roost,UnitedKingdom,50.88,-0.03,Catto et al. (1996),"Catto, C. M. C., Hutson, A. M., Raccey, P. A., & Stephenson, P. J. (1996). Foraging behaviour and habitat use of the serotine bat (Eptesicus serotinus) in southern England. Journal of Zoology, 238(4), 623-633.",Sex_Mixed,Age_Adult/Subadult,NA
58,Myotis_dasycneme,MaxNightlyDistance,7612.5,6715.53,0.88,Mean,NA&HomingIn/triangulation,m,8,individual,1,roost,Poland,53.91,17.53,Ciechanowski et al. (2017),"Ciechanowski, M., Zapart, A., Kokurewicz, T., Rusiński, M., & Lazarus, M. (2017). Habitat selection of the pond bat (Myotis dasycneme) during pregnancy and lactation in northern Poland. Journal of Mammalogy, 98(1), 232-245.",Sex_Female,Age_Adult/Subadult,NA
59,Myotis_dasycneme,MaxNightlyDistance,15615.38,8109.34,0.52,Mean,NA&HomingIn/triangulation,m,14,individual,1,roost,Poland,53.76,17.71,Ciechanowski et al. (2017),"Ciechanowski, M., Zapart, A., Kokurewicz, T., Rusiński, M., & Lazarus, M. (2017). Habitat selection of the pond bat (Myotis dasycneme) during pregnancy and lactation in northern Poland. Journal of Mammalogy, 98(1), 232-245.",Sex_Female,Age_Adult/Subadult,NA
60,Myotis_dasycneme,MaxNightlyDistance,10446.67,5338.66,0.51,Mean,NA&HomingIn/triangulation,m,16,individual,1,roost,Poland,53.93,17.8,Ciechanowski et al. (2017),"Ciechanowski, M., Zapart, A., Kokurewicz, T., Rusiński, M., & Lazarus, M. (2017). Habitat selection of the pond bat (Myotis dasycneme) during pregnancy and lactation in northern Poland. Journal of Mammalogy, 98(1), 232-245.",Sex_Female,Age_Adult/Subadult,NA
61,Barbastella_barbastellus,HomeRange,1004,465.01,0.46,Mean,MCP&NA,ha,5,individual,12,roost,UnitedKingdom,NA,NA,Cornes (2005),"Cornes, B. (2005). Barbastelle radiotracking in 2005. Beds Nat, 60, 22-28.",Sex_Mixed,Age_Adult/Subadult,NA
62,Barbastella_barbastellus,MaxNightlyDistance,4960,968.5,0.2,Mean,NA&NA,m,5,individual,12,roost,UnitedKingdom,NA,NA,Cornes (2005),"Cornes, B. (2005). Barbastelle radiotracking in 2005. Beds Nat, 60, 22-28.",Sex_Mixed,Age_Adult/Subadult,NA
63,Pipistrellus_pipistrellus,HomeRange,218.4,152.4,0.7,Mean,MCP&HomingIn/triangulation,ha,23,individual,3,roost,UnitedKingdom,-0.019588601,-0.578034682,Davidson-Watts & Jones (2006),"Davidson‐Watts, I., & Jones, G. (2006). Differences in foraging behaviour between Pipistrellus pipistrellus (Schreber, 1774) and Pipistrellus pygmaeus (Leach, 1825). Journal of Zoology, 268(1), 55-62.",Sex_Female,Age_Adult/Subadult,NA
