,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
12,Barbastella_barbastellus,ThirdMainPreyItem,Araneae,NA,NA,NA,morphological_analysis,NA,NA,individual,160,pellet,Switzerland,Rydell et al. (1996),"Rydell, J., Natuschke, G., Theiler, A., & Zingg, P. E. (1996). Food habits of the barbastelle bat Barbastella barbastellus. Ecography, 19, 62-66.",NA,NA,NA
16,Barbastella_barbastellus,FirstMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,154,individual,1604,pellet,Czech Republic,Andreas et al. (2012a),"Andreas, M., Reiter, A., & Benda, P. (2012a). Prey selection and seasonal diet changes in the western barbastelle bat (Barbastella barbastellus). Acta Chiropterologica, 14, 81-92.",NA,NA,NA
17,Barbastella_barbastellus,SecondMainPreyItem,Neuroptera,NA,NA,NA,morphological_analysis,NA,154,individual,1604,pellet,Czech Republic,Andreas et al. (2012a),"Andreas, M., Reiter, A., & Benda, P. (2012a). Prey selection and seasonal diet changes in the western barbastelle bat (Barbastella barbastellus). Acta Chiropterologica, 14, 81-92.",NA,NA,NA
18,Barbastella_barbastellus,ThirdMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,154,individual,1604,pellet,Czech Republic,Andreas et al. (2012a),"Andreas, M., Reiter, A., & Benda, P. (2012a). Prey selection and seasonal diet changes in the western barbastelle bat (Barbastella barbastellus). Acta Chiropterologica, 14, 81-92.",NA,NA,NA
34,Eptesicus_isabellinus,FirstMainPreyItem,Coleoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,115,pellet,Spain,Lison et al. (2015),"LisÃ³n, F., Espinosa, J. A. L., Calvo, J. F., & Jones, G. (2015). Diet of the meridional serotine Eptesicus isabellinus in an urban semiarid Mediterranean landscape. Acta Chiropterologica, 17, 371-378.",NA,NA,NA
35,Eptesicus_isabellinus,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,115,pellet,Spain,Lison et al. (2015),"LisÃ³n, F., Espinosa, J. A. L., Calvo, J. F., & Jones, G. (2015). Diet of the meridional serotine Eptesicus isabellinus in an urban semiarid Mediterranean landscape. Acta Chiropterologica, 17, 371-378.",NA,NA,NA
36,Eptesicus_isabellinus,ThirdMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,115,pellet,Spain,Lison et al. (2015),"LisÃ³n, F., Espinosa, J. A. L., Calvo, J. F., & Jones, G. (2015). Diet of the meridional serotine Eptesicus isabellinus in an urban semiarid Mediterranean landscape. Acta Chiropterologica, 17, 371-378.",NA,NA,NA
37,Eptesicus_isabellinus,FirstMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,27,individual,64,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
38,Eptesicus_isabellinus,SecondMainPreyItem,Coleoptera,NA,NA,NA,metabarcoding,NA,27,individual,64,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
39,Eptesicus_isabellinus,ThirdMainPreyItem,Lepidoptera,NA,NA,NA,metabarcoding,NA,27,individual,64,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
40,Eptesicus_nilssonii,FirstMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,6,individual,25,pellet,Finland,Vesterinen et al. (2018),"Vesterinen, E. J., Puisto, A. I., Blomberg, A. S., & Lilley, T. M. (2018). Table for five, please: Dietary partitioning in boreal bats. Ecology and evolution, 8(22), 10914-10937.",NA,NA,NA
41,Eptesicus_nilssonii,SecondMainPreyItem,Lepidoptera,NA,NA,NA,metabarcoding,NA,6,individual,25,pellet,Finland,Vesterinen et al. (2018),"Vesterinen, E. J., Puisto, A. I., Blomberg, A. S., & Lilley, T. M. (2018). Table for five, please: Dietary partitioning in boreal bats. Ecology and evolution, 8(22), 10914-10937.",NA,NA,NA
42,Eptesicus_nilssonii,ThirdMainPreyItem,Trichoptera,NA,NA,NA,metabarcoding,NA,6,individual,25,pellet,Finland,Vesterinen et al. (2018),"Vesterinen, E. J., Puisto, A. I., Blomberg, A. S., & Lilley, T. M. (2018). Table for five, please: Dietary partitioning in boreal bats. Ecology and evolution, 8(22), 10914-10937.",NA,NA,NA
43,Eptesicus_nilssonii,FirstMainPreyItem,Nematocera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1986),"Rydell, J. (1986). Foraging and diet of the northern bat Eptesicus nilssoni in Sweden. Ecography, 9(4), 272-276.",NA,NA,NA
44,Eptesicus_nilssonii,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1986),"Rydell, J. (1986). Foraging and diet of the northern bat Eptesicus nilssoni in Sweden. Ecography, 9(4), 272-276.",NA,NA,NA
45,Eptesicus_nilssonii,ThirdMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1986),"Rydell, J. (1986). Foraging and diet of the northern bat Eptesicus nilssoni in Sweden. Ecography, 9(4), 272-276.",NA,NA,NA
46,Eptesicus_nilssonii,FirstMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1992b),"Rydell, J. (1992b). Ecology of the northern bat Eptesicus nilssoni during pregnancy and lactation. Oecologia 80(4):562-565",NA,NA,NA
47,Vespertilio_murinus,FirstMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1992a),"Rydell, J. (1992a). The diet of the partiâ€coloured bat Vespertilio murinus in Sweden. Ecography, 15(2), 195-198.",NA,NA,NA
48,Vespertilio_murinus,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1992a),"Rydell, J. (1992a). The diet of the partiâ€coloured bat Vespertilio murinus in Sweden. Ecography, 15(2), 195-198.",NA,NA,NA
49,Vespertilio_murinus,ThirdMainPreyItem,Trichoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Sweden,Rydell (1992a),"Rydell, J. (1992a). The diet of the partiâ€coloured bat Vespertilio murinus in Sweden. Ecography, 15(2), 195-198.",NA,NA,NA
50,Vespertilio_murinus,FirstMainPreyItem,Trichoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,72,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
51,Vespertilio_murinus,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,72,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
52,Vespertilio_murinus,ThirdMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,72,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
53,Vespertilio_murinus,FirstMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,110,pellet,Switzerland,Jaberg et al. (1998),"Jaberg, C., Leuthold, C., & Blant, J. D. (1998). Foraging habitats and feeding strategy of the parti-coloured bat Vespertilio murinus L. 1758 in western Switzerland. Myotis, 36, 51-61.",NA,NA,NA
54,Vespertilio_murinus,SecondMainPreyItem,Trichoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,110,pellet,Switzerland,Jaberg et al. (1998),"Jaberg, C., Leuthold, C., & Blant, J. D. (1998). Foraging habitats and feeding strategy of the parti-coloured bat Vespertilio murinus L. 1758 in western Switzerland. Myotis, 36, 51-61.",NA,NA,NA
55,Vespertilio_murinus,ThirdMainPreyItem,Hemiptera,NA,NA,NA,morphological_analysis,NA,NA,individual,110,pellet,Switzerland,Jaberg et al. (1998),"Jaberg, C., Leuthold, C., & Blant, J. D. (1998). Foraging habitats and feeding strategy of the parti-coloured bat Vespertilio murinus L. 1758 in western Switzerland. Myotis, 36, 51-61.",NA,NA,NA
56,Eptesicus_serotinus,FirstMainPreyItem,Coleoptera,NA,NA,NA,morphological_analysis,NA,35,individual,250,pellet,Czech Republic,Zukal & GajdoÅ¡ik (2012),"Zukal, J., & GajdoÅ¡ik, M. (2012). Diet of Eptesicus serotinus in an agricultural landscape. Vespertilio, 16, 357-363.",NA,NA,NA
57,Eptesicus_serotinus,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,35,individual,250,pellet,Czech Republic,Zukal & GajdoÅ¡ik (2012),"Zukal, J., & GajdoÅ¡ik, M. (2012). Diet of Eptesicus serotinus in an agricultural landscape. Vespertilio, 16, 357-363.",NA,NA,NA
58,Eptesicus_serotinus,ThirdMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,35,individual,250,pellet,Czech Republic,Zukal & GajdoÅ¡ik (2012),"Zukal, J., & GajdoÅ¡ik, M. (2012). Diet of Eptesicus serotinus in an agricultural landscape. Vespertilio, 16, 357-363.",NA,NA,NA
59,Eptesicus_serotinus,FirstMainPreyItem,Coleoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,408,pellet,UnitedKingdom,Robinson & Sterbbings (1993),"Robinson, M. F., & Stebbings, R. E. (1993). Food of the serotine bat, Eptesicus serotinusâ€”is faecal analysis a valid qualitative and quantitative technique?. Journal of Zoology, 231(2), 239-248.",NA,NA,NA
60,Eptesicus_serotinus,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,408,pellet,UnitedKingdom,Robinson & Sterbbings (1993),"Robinson, M. F., & Stebbings, R. E. (1993). Food of the serotine bat, Eptesicus serotinusâ€”is faecal analysis a valid qualitative and quantitative technique?. Journal of Zoology, 231(2), 239-248.",NA,NA,NA
61,Eptesicus_serotinus,ThirdMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,408,pellet,UnitedKingdom,Robinson & Sterbbings (1993),"Robinson, M. F., & Stebbings, R. E. (1993). Food of the serotine bat, Eptesicus serotinusâ€”is faecal analysis a valid qualitative and quantitative technique?. Journal of Zoology, 231(2), 239-248.",NA,NA,NA
62,Eptesicus_serotinus,FirstMainPreyItem,Coleoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,115,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
63,Eptesicus_serotinus,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,115,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
64,Eptesicus_serotinus,ThirdMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,115,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
68,Hypsugo_savii,FirstMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,1,individual,60,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
69,Hypsugo_savii,SecondMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,1,individual,60,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
70,Hypsugo_savii,ThirdMainPreyItem,Hymenoptera/Neuroptera,NA,NA,NA,morphological_analysis,NA,1,individual,60,pellet,across,Beck (1995),"Beck, A. (1995). Fecal analyses of European bat species. Myotis, 32, 109-119.",NA,NA,NA
77,Hypsugo_savii,FirstMainPreyItem,Hymenoptera,NA,NA,NA,NA,NA,NA,individual,138,pellet,NA,Kipson et al. (2018),"Kipson, M., Å Ã¡lek, M., LuÄan, R., Uhrin, M., MaxinovÃ¡, E., Bartonika, T., ... & HorÃ¡Äek, I. (2018). Foraging habitat, home-range size and diet of a Mediterranean bat species, Savi's pipistrelle. Acta Chiropterologica, 20(2), 351-360.",NA,NA,NA
78,Hypsugo_savii,SecondMainPreyItem,Hemiptera,NA,NA,NA,NA,NA,NA,individual,138,pellet,NA,Kipson et al. (2018),"Kipson, M., Å Ã¡lek, M., LuÄan, R., Uhrin, M., MaxinovÃ¡, E., Bartonika, T., ... & HorÃ¡Äek, I. (2018). Foraging habitat, home-range size and diet of a Mediterranean bat species, Savi's pipistrelle. Acta Chiropterologica, 20(2), 351-360.",NA,NA,NA
79,Hypsugo_savii,ThirdMainPreyItem,Diptera,NA,NA,NA,NA,NA,NA,individual,138,pellet,NA,Kipson et al. (2018),"Kipson, M., Å Ã¡lek, M., LuÄan, R., Uhrin, M., MaxinovÃ¡, E., Bartonika, T., ... & HorÃ¡Äek, I. (2018). Foraging habitat, home-range size and diet of a Mediterranean bat species, Savi's pipistrelle. Acta Chiropterologica, 20(2), 351-360.",NA,NA,NA
80,Hypsugo_savii,FirstMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,5,individual,11,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
81,Hypsugo_savii,SecondMainPreyItem,Hemiptera,NA,NA,NA,metabarcoding,NA,5,individual,11,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
82,Hypsugo_savii,ThirdMainPreyItem,Coleoptera,NA,NA,NA,metabarcoding,NA,5,individual,11,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
83,Miniopterus_schreibersii,FirstMainPreyItem,Lepidoptera,NA,NA,NA,metabarcoding,NA,27,individual,NA,pellet,France,Galan et al. (2018),"Galan, M., Pons, J. B., Tournayre, O., Pierre, E., Leuchtmann, M., Pontier, D., & Charbonnel, N. (2018). Metabarcoding for the parallel identification of several hundred predators and their prey: Application to bat species diet analysis. Molecular ecology resources, 18(3), 474-489.",NA,NA,NA
84,Miniopterus_schreibersii,SecondMainPreyItem,Neuroptera,NA,NA,NA,metabarcoding,NA,27,individual,NA,pellet,France,Galan et al. (2018),"Galan, M., Pons, J. B., Tournayre, O., Pierre, E., Leuchtmann, M., Pontier, D., & Charbonnel, N. (2018). Metabarcoding for the parallel identification of several hundred predators and their prey: Application to bat species diet analysis. Molecular ecology resources, 18(3), 474-489.",NA,NA,NA
85,Miniopterus_schreibersii,ThirdMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,27,individual,NA,pellet,France,Galan et al. (2018),"Galan, M., Pons, J. B., Tournayre, O., Pierre, E., Leuchtmann, M., Pontier, D., & Charbonnel, N. (2018). Metabarcoding for the parallel identification of several hundred predators and their prey: Application to bat species diet analysis. Molecular ecology resources, 18(3), 474-489.",NA,NA,NA
86,Miniopterus_schreibersii,FirstMainPreyItem,Lepidoptera,NA,NA,NA,metabarcoding,NA,29,individual,70,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
87,Miniopterus_schreibersii,SecondMainPreyItem,Neuroptera,NA,NA,NA,metabarcoding,NA,29,individual,70,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
88,Miniopterus_schreibersii,ThirdMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,29,individual,70,pellet,Portugal,Unpublished data,Unpublished data,Data_provider:_Vanessa_Mata,NA,NA
89,Miniopterus_schreibersii,FirstMainPreyItem,Lepidoptera,NA,NA,NA,metabarcoding,NA,79,individual,NA,pellet,across,Aizpurua et al. (2018),"Aizpurua, O., Budinski, I., Georgiakakis, P., Gopalakrishnan, S., IbaÃ±ez, C., Mata, V., ... & Alberdi, A. (2018). Agriculture shapes the trophic niche of a bat preying on multiple pest arthropods across Europe: Evidence from DNA metabarcoding. Molecular ecology, 27(3), 815-825.",NA,NA,NA
90,Miniopterus_schreibersii,SecondMainPreyItem,Neuroptera,NA,NA,NA,metabarcoding,NA,79,individual,NA,pellet,across,Aizpurua et al. (2018),"Aizpurua, O., Budinski, I., Georgiakakis, P., Gopalakrishnan, S., IbaÃ±ez, C., Mata, V., ... & Alberdi, A. (2018). Agriculture shapes the trophic niche of a bat preying on multiple pest arthropods across Europe: Evidence from DNA metabarcoding. Molecular ecology, 27(3), 815-825.",NA,NA,NA
91,Miniopterus_schreibersii,ThirdMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,79,individual,NA,pellet,across,Aizpurua et al. (2018),"Aizpurua, O., Budinski, I., Georgiakakis, P., Gopalakrishnan, S., IbaÃ±ez, C., Mata, V., ... & Alberdi, A. (2018). Agriculture shapes the trophic niche of a bat preying on multiple pest arthropods across Europe: Evidence from DNA metabarcoding. Molecular ecology, 27(3), 815-825.",NA,NA,NA
95,Myotis_alcathoe,FirstMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,18,individual,109,pellet,Czech Republic,LuÄan et al. (2009),"LuÄan, R. K., Andreas, M., Benda, P., BartoniÄka, T., BÅ™ezinovÃ¡, T., HoffmannovÃ¡, A., ... & HorÃ¡Äek, I. (2009). Alcathoe bat (Myotis alcathoe) in the Czech Republic: distributional status, roosting and feeding ecology. Acta Chiropterologica, 11(1), 61-69.",NA,NA,NA
96,Myotis_alcathoe,SecondMainPreyItem,Arachnida,NA,NA,NA,morphological_analysis,NA,18,individual,109,pellet,Czech Republic,LuÄan et al. (2009),"LuÄan, R. K., Andreas, M., Benda, P., BartoniÄka, T., BÅ™ezinovÃ¡, T., HoffmannovÃ¡, A., ... & HorÃ¡Äek, I. (2009). Alcathoe bat (Myotis alcathoe) in the Czech Republic: distributional status, roosting and feeding ecology. Acta Chiropterologica, 11(1), 61-69.",NA,NA,NA
97,Myotis_alcathoe,ThirdMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,18,individual,109,pellet,Czech Republic,LuÄan et al. (2009),"LuÄan, R. K., Andreas, M., Benda, P., BartoniÄka, T., BÅ™ezinovÃ¡, T., HoffmannovÃ¡, A., ... & HorÃ¡Äek, I. (2009). Alcathoe bat (Myotis alcathoe) in the Czech Republic: distributional status, roosting and feeding ecology. Acta Chiropterologica, 11(1), 61-69.",NA,NA,NA
98,Myotis_alcathoe,FirstMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,24,individual,111,pellet,Slovakia,Danko et al. (2010),"Danko, Å ., KriÅ¡tÃ­n, A., & KriÅ¡tofÃ­k, J. (2010). Myotis alcathoe in eastern Slovakia: occurrence, diet, ectoparasites and notes on its identification in the field. Vespertilio, 13(14), 77-91",NA,NA,NA
99,Myotis_alcathoe,SecondMainPreyItem,Hymenoptera,NA,NA,NA,morphological_analysis,NA,24,individual,111,pellet,Slovakia,Danko et al. (2010),"Danko, Å ., KriÅ¡tÃ­n, A., & KriÅ¡tofÃ­k, J. (2010). Myotis alcathoe in eastern Slovakia: occurrence, diet, ectoparasites and notes on its identification in the field. Vespertilio, 13(14), 77-91",NA,NA,NA
100,Myotis_alcathoe,ThirdMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,24,individual,111,pellet,Slovakia,Danko et al. (2010),"Danko, Å ., KriÅ¡tÃ­n, A., & KriÅ¡tofÃ­k, J. (2010). Myotis alcathoe in eastern Slovakia: occurrence, diet, ectoparasites and notes on its identification in the field. Vespertilio, 13(14), 77-91",NA,NA,NA
101,Myotis_bechsteinii,FirstMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,2,individual,NA,pellet,Germany,Wolz (1993),"Wolz, I. (1993). Das Beutespektrum der Bechsteinfledermaus Myotis bechsteini (Kuhl, 1818) ermittelt aus kotanalysen. Myotis, 31, 27-68.",NA,NA,NA
102,Myotis_bechsteinii,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,2,individual,NA,pellet,Germany,Wolz (1993),"Wolz, I. (1993). Das Beutespektrum der Bechsteinfledermaus Myotis bechsteini (Kuhl, 1818) ermittelt aus kotanalysen. Myotis, 31, 27-68.",NA,NA,NA
103,Myotis_bechsteinii,ThirdMainPreyItem,Orthoptera,NA,NA,NA,morphological_analysis,NA,2,individual,NA,pellet,Germany,Wolz (1993),"Wolz, I. (1993). Das Beutespektrum der Bechsteinfledermaus Myotis bechsteini (Kuhl, 1818) ermittelt aus kotanalysen. Myotis, 31, 27-68.",NA,NA,NA
104,Myotis_bechsteinii,FirstMainPreyItem,Diptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Germany,Wolz (2002),"Wolz, I. (2002). Beutespektren der Bechsteinfledermaus (Myotis bechsteinii) und des GroÃŸen Mausohrs (Myotis myotis) aus dem Schnaittenbacher Forst in Nordbayern. Schriftenreihe fÃ¼r Landschaftspflege und Naturschutz, 71, 213-224.",NA,NA,NA
105,Myotis_bechsteinii,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Germany,Wolz (2002),"Wolz, I. (2002). Beutespektren der Bechsteinfledermaus (Myotis bechsteinii) und des GroÃŸen Mausohrs (Myotis myotis) aus dem Schnaittenbacher Forst in Nordbayern. Schriftenreihe fÃ¼r Landschaftspflege und Naturschutz, 71, 213-224.",NA,NA,NA
106,Myotis_bechsteinii,ThirdMainPreyItem,Orthoptera,NA,NA,NA,morphological_analysis,NA,NA,individual,NA,pellet,Germany,Wolz (2002),"Wolz, I. (2002). Beutespektren der Bechsteinfledermaus (Myotis bechsteinii) und des GroÃŸen Mausohrs (Myotis myotis) aus dem Schnaittenbacher Forst in Nordbayern. Schriftenreihe fÃ¼r Landschaftspflege und Naturschutz, 71, 213-224.",NA,NA,NA
107,Myotis_bechsteinii,FirstMainPreyItem,Orthoptera,NA,NA,NA,morphological_analysis,NA,58,individual,450,pellet,Central Europe,Andreas et al. (2012b),"Andreas, M., Reiter, A., & Benda, P. (2012b). Dietary composition, resource partitioning and trophic niche overlap in three forest foliage-gleaning bats in Central Europe. Acta Chiropterologica, 14(2), 335-345.",NA,NA,NA
108,Myotis_bechsteinii,SecondMainPreyItem,Lepidoptera,NA,NA,NA,morphological_analysis,NA,58,individual,450,pellet,Central Europe,Andreas et al. (2012b),"Andreas, M., Reiter, A., & Benda, P. (2012b). Dietary composition, resource partitioning and trophic niche overlap in three forest foliage-gleaning bats in Central Europe. Acta Chiropterologica, 14(2), 335-345.",NA,NA,NA
109,Myotis_bechsteinii,ThirdMainPreyItem,Coleoptera,NA,NA,NA,morphological_analysis,NA,58,individual,450,pellet,Central Europe,Andreas et al. (2012b),"Andreas, M., Reiter, A., & Benda, P. (2012b). Dietary composition, resource partitioning and trophic niche overlap in three forest foliage-gleaning bats in Central Europe. Acta Chiropterologica, 14(2), 335-345.",NA,NA,NA
110,Myotis_bechsteinii,FirstMainPreyItem,Diptera,NA,NA,NA,metabarcoding,NA,12,individual,NA,pellet,Germany,Roswag et al. (2018),"Roswag, A., Becker, N. I., & EncarnaÃ§Ã£o, J. A. (2018). Isotopic and dietary niches as indicators for resource partitioning in the gleaner bats Myotis bechsteinii, M. nattereri, and Plecotus auritus. Mammalian Biology, 89(1), 62-70.",NA,NA,NA
111,Myotis_bechsteinii,SecondMainPreyItem,Lepidoptera,NA,NA,NA,metabarcoding,NA,12,individual,NA,pellet,Germany,Roswag et al. (2018),"Roswag, A., Becker, N. I., & EncarnaÃ§Ã£o, J. A. (2018). Isotopic and dietary niches as indicators for resource partitioning in the gleaner bats Myotis bechsteinii, M. nattereri, and Plecotus auritus. Mammalian Biology, 89(1), 62-70.",NA,NA,NA
