verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3
Myotis_alcathoe,ThirdDigitLength,53.39,1.99,3.73,mean,capture,mm,41,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_alcathoe,FifthDigitLength,42.15,1.29,3.06,mean,capture,mm,48,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_alcathoe,BodyMass,4.64,0.74,15.95,mean,capture,g,64,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_bechsteinii,ForearmLength,41.38,1.08,2.61,mean,capture,mm,3551,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_bechsteinii,ThirdDigitLength,66.27,2.33,3.52,mean,capture,mm,116,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_bechsteinii,FifthDigitLength,54.94,1.72,3.13,mean,capture,mm,127,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_bechsteinii,BodyMass,9.01,1.2,13.32,mean,capture,g,383,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_blythii,ForearmLength,56.85,1.88,3.31,mean,capture,mm,344,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_blythii,ThirdDigitLength,99,2.91,2.94,mean,capture,mm,5,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_blythii,FifthDigitLength,79.75,1.71,2.14,mean,capture,mm,4,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_blythii,BodyMass,23.72,2.63,11.09,mean,capture,g,18,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_brandtii,ForearmLength,35.03,1.16,3.31,mean,capture,mm,359,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_brandtii,ThirdDigitLength,55.78,1.2,2.15,mean,capture,mm,9,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_brandtii,FifthDigitLength,44.35,2.12,4.78,mean,capture,mm,17,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_brandtii,BodyMass,6.41,0.9,14.04,mean,capture,g,37,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_capaccinii,ForearmLength,40.45,0.98,2.42,mean,capture,mm,620,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_capaccinii,ThirdDigitLength,67.2,2.28,3.39,mean,capture,mm,5,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_capaccinii,FifthDigitLength,53,2.14,4.04,mean,capture,mm,8,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_capaccinii,BodyMass,9.11,1.08,11.86,mean,capture,g,46,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_dasycneme,ForearmLength,45.9,1.16,2.53,mean,capture,mm,12,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_dasycneme,BodyMass,14,0,0,mean,capture,g,4,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_daubentonii,ForearmLength,36.85,1.21,3.28,mean,capture,mm,7665,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_daubentonii,ThirdDigitLength,61.87,2.02,3.26,mean,capture,mm,167,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_daubentonii,FifthDigitLength,50.15,1.79,3.57,mean,capture,mm,227,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_daubentonii,BodyMass,7.85,1.33,16.94,mean,capture,g,908,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_emarginatus,ForearmLength,38.55,1.39,3.61,mean,capture,mm,3004,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_emarginatus,ThirdDigitLength,66.66,3.12,4.68,mean,capture,mm,144,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_emarginatus,FifthDigitLength,55.18,1.9,3.44,mean,capture,mm,141,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_emarginatus,BodyMass,7.61,0.84,11.04,mean,capture,g,337,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_escalerai,ForearmLength,38.85,1.04,2.68,mean,capture,mm,20,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_escalerai,ThirdDigitLength,67,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_escalerai,FifthDigitLength,51,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_escalerai,BodyMass,5,NA,NA,mean,capture,g,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_myotis,ForearmLength,60.5,2.19,3.62,mean,capture,mm,2856,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_myotis,ThirdDigitLength,102.53,4.11,4.01,mean,capture,mm,121,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_myotis,FifthDigitLength,80.99,3.2,3.95,mean,capture,mm,136,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_myotis,BodyMass,27.2,2.91,10.7,mean,capture,g,295,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_mystacinus,ForearmLength,33.91,1.17,3.45,mean,capture,mm,2353,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_mystacinus,ThirdDigitLength,55.64,2.23,4.01,mean,capture,mm,112,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_mystacinus,FifthDigitLength,44.75,1.7,3.8,mean,capture,mm,121,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_mystacinus,BodyMass,4.91,0.7,14.26,mean,capture,g,223,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_punicus,ForearmLength,58.63,1.69,2.88,mean,capture,mm,214,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_punicus,ThirdDigitLength,92,1,1.09,mean,capture,mm,3,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_punicus,FifthDigitLength,74,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_punicus,BodyMass,23.9,3.18,13.31,mean,capture,g,29,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_lasiopterus,ForearmLength,64.98,1.51,2.32,mean,capture,mm,83,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_lasiopterus,ThirdDigitLength,114.33,1.15,1.01,mean,capture,mm,3,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_lasiopterus,FifthDigitLength,75.33,2.89,3.84,mean,capture,mm,3,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_lasiopterus,BodyMass,48.77,7.44,15.26,mean,capture,g,13,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_leisleri,ForearmLength,42.77,1.23,2.88,mean,capture,mm,1829,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_leisleri,ThirdDigitLength,76.36,1.89,2.48,mean,capture,mm,22,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_leisleri,FifthDigitLength,49.64,1.5,3.02,mean,capture,mm,22,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_leisleri,BodyMass,15.18,1.98,13.04,mean,capture,g,285,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_noctula,ForearmLength,52.83,1.47,2.78,mean,capture,mm,235,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_noctula,ThirdDigitLength,94,0,0,mean,capture,mm,2,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_noctula,FifthDigitLength,61,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Nyctalus_noctula,BodyMass,30.97,3.89,12.56,mean,capture,g,31,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_kuhlii,ForearmLength,33.56,1.42,4.23,mean,capture,mm,1254,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_kuhlii,ThirdDigitLength,59.9,4.39,7.33,mean,capture,mm,39,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_kuhlii,FifthDigitLength,45.1,2.75,6.1,mean,capture,mm,54,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_kuhlii,BodyMass,6.09,1.07,17.57,mean,capture,g,140,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_nathusii,ForearmLength,33.72,0.91,2.7,mean,capture,mm,396,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_nathusii,ThirdDigitLength,62.47,2.27,3.63,mean,capture,mm,36,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_nathusii,FifthDigitLength,45.91,2.11,4.6,mean,capture,mm,45,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_nathusii,BodyMass,7.26,0.81,11.16,mean,capture,g,54,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pipistrellus,ForearmLength,30.93,1.04,3.36,mean,capture,mm,10549,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pipistrellus,ThirdDigitLength,54.7,2.06,3.77,mean,capture,mm,544,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pipistrellus,FifthDigitLength,40.46,1.72,4.25,mean,capture,mm,725,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pipistrellus,BodyMass,4.59,0.71,15.47,mean,capture,g,1071,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pygmaeus,ForearmLength,30,1.12,3.73,mean,capture,mm,358,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pygmaeus,ThirdDigitLength,52.78,1.2,2.27,mean,capture,mm,9,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pygmaeus,FifthDigitLength,39.67,0.8,2.02,mean,capture,mm,21,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Pipistrellus_pygmaeus,BodyMass,4.25,1.05,24.71,mean,capture,g,36,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_auritus,ForearmLength,38.44,0.98,2.55,mean,capture,mm,4062,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_auritus,ThirdDigitLength,65.39,2.45,3.75,mean,capture,mm,127,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_auritus,FifthDigitLength,51.87,1.76,3.39,mean,capture,mm,157,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_auritus,BodyMass,7.39,0.8,10.83,mean,capture,g,465,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_austriacus,ForearmLength,39.62,0.95,2.4,mean,capture,mm,1759,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_austriacus,ThirdDigitLength,69.6,2.6,3.74,mean,capture,mm,63,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_austriacus,FifthDigitLength,54.74,2.01,3.67,mean,capture,mm,81,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_austriacus,BodyMass,8.07,0.82,10.16,mean,capture,g,150,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_macrobullaris,ForearmLength,40.89,1.24,3.03,mean,capture,mm,201,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_macrobullaris,ThirdDigitLength,69.45,2.22,3.2,mean,capture,mm,22,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_macrobullaris,FifthDigitLength,54.32,2.16,3.98,mean,capture,mm,19,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Plecotus_macrobullaris,BodyMass,7.33,0.61,8.32,mean,capture,g,15,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_euryale,ForearmLength,46.98,0.93,1.98,mean,capture,mm,137,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_euryale,ThirdDigitLength,75,0.63,0.84,mean,capture,mm,6,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_euryale,FifthDigitLength,60.5,0.84,1.39,mean,capture,mm,6,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_euryale,BodyMass,10.78,0.67,6.22,mean,capture,g,9,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_ferrumequinum,ForearmLength,55.32,1.49,2.69,mean,capture,mm,2220,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_ferrumequinum,ThirdDigitLength,88.21,2.66,3.02,mean,capture,mm,169,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_ferrumequinum,FifthDigitLength,72.35,2.23,3.08,mean,capture,mm,165,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_ferrumequinum,BodyMass,19.9,2.85,14.32,mean,capture,g,275,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_hipposideros,ForearmLength,37.19,1.15,3.09,mean,capture,mm,878,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_hipposideros,ThirdDigitLength,55.22,2.01,3.64,mean,capture,mm,18,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_hipposideros,FifthDigitLength,51.33,2.5,4.87,mean,capture,mm,18,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Rhinolophus_hipposideros,BodyMass,5,0,0,mean,capture,g,34,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Tadarida_teniotis,ForearmLength,59.57,1.37,2.3,mean,capture,mm,49,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Tadarida_teniotis,ThirdDigitLength,107.5,2.12,1.97,mean,capture,mm,2,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Tadarida_teniotis,FifthDigitLength,60,0,0,mean,capture,mm,2,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Tadarida_teniotis,BodyMass,26.67,3.14,11.77,mean,capture,g,6,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Vespertilio_murinus,ForearmLength,44.18,1.38,3.12,mean,capture,mm,67,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Vespertilio_murinus,ThirdDigitLength,75,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Vespertilio_murinus,FifthDigitLength,55,NA,NA,mean,capture,mm,1,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Vespertilio_murinus,BodyMass,11.6,1.82,15.69,mean,capture,g,5,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_nattereri,ForearmLength,38.55,0.99,2.57,mean,capture,mm,1721,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_nattereri,ThirdDigitLength,69.5,2.76,3.97,mean,capture,mm,109,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_nattereri,FifthDigitLength,54.11,1.9,3.51,mean,capture,mm,150,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_nattereri,BodyMass,7.16,0.74,10.34,mean,capture,g,243,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_crypticus,ForearmLength,38.5,0.93,2.42,mean,capture,mm,1927,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_crypticus,ThirdDigitLength,68.5,2.2,3.21,mean,capture,mm,64,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
Myotis_crypticus,FifthDigitLength,53.52,2.16,4.04,mean,capture,mm,61,individual,France,CACCHI,Unpublished data from the CACCHI program,Data_provider:_Julie_Marmet,Adult,spurious_values_&_outliers_removed
